epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6446,0.95602,2.56493,1.04881,1.27976,0.79463,0.80952,0.78757,0.59273,0.80917,0.66667,0.64374,0.37815,1.01803,3.3886,1.38629,1.54603,2e-05,2e-05,2e-05
2,26.9385,1.02357,2.49485,1.09997,1.32646,0.77156,0.80437,0.7755,0.59595,0.82347,0.66667,0.70162,0.39116,1.06078,3.42549,1.40221,1.55084,5.98812e-05,5.98812e-05,5.98812e-05
3,37.5946,0.88923,2.27236,0.97076,1.21454,0.74567,0.7619,0.77297,0.56289,0.81978,0.66667,0.69975,0.37538,1.18898,3.58516,1.38453,1.65937,9.9604e-05,9.9604e-05,9.9604e-05
4,48.2475,0.98451,2.38892,1.01152,1.28593,0.82219,0.66087,0.77836,0.54582,0.92072,0.55394,0.64522,0.34468,1.26366,3.85259,1.37867,1.70106,0.000139168,0.000139168,0.000139168
5,59.3553,0.92579,2.31698,0.98509,1.24829,0.69953,0.80952,0.77764,0.55923,0.80837,0.57143,0.62709,0.3388,1.1814,3.94865,1.36916,1.62322,0.000178574,0.000178574,0.000178574
6,69.5136,0.90938,2.56525,1.00147,1.27843,0.76408,0.80952,0.79357,0.58011,0.75619,0.66667,0.63905,0.37488,1.08216,3.54994,1.35479,1.5459,0.000217822,0.000217822,0.000217822
7,80.6944,0.88581,2.32203,0.93818,1.19734,0.80789,0.80136,0.79858,0.55139,0.79427,0.57143,0.63163,0.37103,1.16222,3.41871,1.46947,1.59417,0.000256911,0.000256911,0.000256911
8,90.9225,0.8884,2.19015,0.96092,1.27039,0.83178,0.70673,0.78073,0.52192,0.776,0.66019,0.67591,0.34523,1.33866,3.614,1.61465,1.73089,0.000295842,0.000295842,0.000295842
9,101.315,0.95941,2.0468,0.96798,1.2813,0.78835,0.71429,0.76139,0.51476,0.61599,0.61905,0.63346,0.34574,1.36963,3.78,1.67491,1.7549,0.000334614,0.000334614,0.000334614
10,112.038,0.80116,2.2061,0.87677,1.15982,0.67718,0.71429,0.72898,0.51287,0.8118,0.42857,0.54808,0.31246,1.27815,4.00257,1.73471,1.6502,0.000373228,0.000373228,0.000373228
11,122.489,0.85213,2.30524,0.9227,1.19585,0.7191,0.66667,0.72792,0.49875,0.85908,0.38095,0.53712,0.29529,1.1968,4.09105,1.70544,1.58656,0.000411684,0.000411684,0.000411684
12,132.915,0.90724,2.3909,1.03453,1.27251,0.7973,0.56241,0.73114,0.51015,0.7973,0.56241,0.65494,0.27044,1.22858,4.0022,1.78814,1.60386,0.000449981,0.000449981,0.000449981
13,143.388,1.00454,2.34485,1.06521,1.37314,0.71935,0.71429,0.74268,0.44141,0.8556,0.56475,0.61973,0.21342,1.42094,4.07869,1.87873,1.74435,0.00048812,0.00048812,0.00048812
14,153.792,0.94815,2.34244,1.01065,1.27551,0.65595,0.80952,0.78733,0.44863,0.87729,0.52381,0.61815,0.21783,1.4053,4.11482,1.81206,1.78159,0.0005261,0.0005261,0.0005261
15,164.379,0.96794,2.47041,1.05724,1.28874,0.93185,0.65183,0.7665,0.52935,0.86471,0.57143,0.6762,0.30353,1.28472,3.85057,1.71212,1.65547,0.000563922,0.000563922,0.000563922
16,174.938,0.97607,2.36237,1.03359,1.29849,0.8899,0.66667,0.7673,0.56559,0.91748,0.66667,0.69021,0.32641,1.08636,4.01335,1.44077,1.53796,0.000601586,0.000601586,0.000601586
17,185.426,0.91992,2.13471,1.01913,1.26343,0.90589,0.66667,0.75802,0.56933,0.71965,0.52381,0.50583,0.25257,1.09867,4.67327,1.35608,1.54291,0.000639091,0.000639091,0.000639091
18,195.88,0.89754,2.48365,0.92388,1.24045,0.86024,0.66667,0.77249,0.56827,0.72073,0.52381,0.52799,0.27836,1.15177,4.62104,1.29727,1.63113,0.000676438,0.000676438,0.000676438
19,207.206,0.89694,2.30007,0.98301,1.2476,0.83526,0.7619,0.77155,0.52891,0.65978,0.52381,0.53663,0.28486,1.18666,4.54017,1.38903,1.66813,0.000713626,0.000713626,0.000713626
20,217.697,0.91561,2.30376,0.90949,1.25847,0.85633,0.66667,0.73964,0.44996,0.76847,0.42857,0.50796,0.24292,1.46587,4.43244,1.55962,1.96466,0.000750656,0.000750656,0.000750656
21,228.298,0.94792,2.25199,0.95663,1.27682,0.68844,0.66667,0.68851,0.40417,0.73269,0.5222,0.54677,0.25148,1.5337,4.21729,1.70359,2.08059,0.000787528,0.000787528,0.000787528
22,238.994,0.97841,2.53837,0.98626,1.23735,0.62174,0.66667,0.63724,0.31122,0.69753,0.5498,0.57003,0.20101,1.83169,4.1711,1.85505,2.28354,0.000824241,0.000824241,0.000824241
23,249.444,0.98107,2.34024,1.01283,1.30176,0.61454,0.53178,0.63318,0.32394,0.84198,0.5083,0.52078,0.18689,1.8322,4.39569,2.02624,2.2392,0.000860796,0.000860796,0.000860796
24,260.222,0.98924,2.18806,0.98089,1.33036,0.69599,0.76318,0.76205,0.41446,0.73825,0.57143,0.56905,0.25283,1.5961,4.5335,1.69345,2.04556,0.000897192,0.000897192,0.000897192
25,270.765,0.9736,2.44825,0.97389,1.28588,0.78105,0.85714,0.84479,0.54677,0.93297,0.66667,0.64764,0.28311,1.40599,4.46131,1.47484,1.88234,0.00093343,0.00093343,0.00093343
26,281.714,0.90551,2.03544,0.91393,1.24002,0.84651,0.7619,0.82477,0.54578,0.92162,0.56062,0.66225,0.33243,1.36789,4.25101,1.44222,1.84031,0.00096951,0.00096951,0.00096951
27,292.326,0.99812,2.38879,0.98328,1.3308,0.91932,0.61905,0.72831,0.55871,0.90884,0.57143,0.60287,0.30611,1.25917,4.32289,1.40845,1.7535,0.00100543,0.00100543,0.00100543
28,302.92,0.88136,2.23959,0.93019,1.30461,0.91932,0.61905,0.72831,0.55871,0.90884,0.57143,0.60287,0.30611,1.25917,4.32289,1.40845,1.7535,0.00104119,0.00104119,0.00104119
29,313.506,0.96559,2.29498,0.95144,1.2765,0.91093,0.61905,0.77131,0.56838,0.85181,0.57143,0.62096,0.32709,1.20492,4.16561,1.39101,1.70622,0.0010768,0.0010768,0.0010768
30,324.335,0.94999,2.17125,0.92107,1.26744,0.84839,0.61905,0.72201,0.47162,0.78313,0.57143,0.5983,0.28768,1.37449,4.21029,1.69719,1.88063,0.00111224,0.00111224,0.00111224
31,334.705,0.85744,2.19768,0.86151,1.21566,0.84839,0.61905,0.72201,0.47162,0.78313,0.57143,0.5983,0.28768,1.37449,4.21029,1.69719,1.88063,0.00114753,0.00114753,0.00114753
32,345.392,0.92931,2.24533,0.92678,1.25568,0.69884,0.61905,0.71347,0.36564,0.56269,0.52381,0.46929,0.2284,1.49481,4.51161,1.93095,1.9948,0.00118266,0.00118266,0.00118266
33,356.608,0.95089,2.29979,0.91554,1.29575,0.73683,0.71429,0.74912,0.42906,0.69099,0.47619,0.53048,0.22731,1.55495,4.79393,1.69291,2.0172,0.00121763,0.00121763,0.00121763
34,367.542,0.92723,2.16091,0.90678,1.24012,0.73683,0.71429,0.74912,0.42906,0.69099,0.47619,0.53048,0.22731,1.55495,4.79393,1.69291,2.0172,0.00125244,0.00125244,0.00125244
35,377.863,0.96261,2.27145,0.88008,1.25726,0.69049,0.63799,0.67978,0.47333,0.79848,0.47619,0.53832,0.26289,1.41451,4.94174,1.58681,1.94593,0.0012871,0.0012871,0.0012871
36,388.6,0.96842,2.25999,0.95166,1.32857,1,0.58844,0.73715,0.51256,0.97854,0.52381,0.64711,0.29617,1.24591,4.54803,1.57837,1.73394,0.00132159,0.00132159,0.00132159
37,399.815,0.93672,2.04577,0.92046,1.23509,1,0.58844,0.73715,0.51256,0.97854,0.52381,0.64711,0.29617,1.24591,4.54803,1.57837,1.73394,0.00135593,0.00135593,0.00135593
38,411.183,0.95505,2.26332,0.89521,1.31395,0.75391,0.61905,0.66231,0.43236,0.69419,0.57143,0.60347,0.24145,1.32909,3.92208,1.543,1.85406,0.00139011,0.00139011,0.00139011
39,422.174,0.86017,2.11315,0.84201,1.20791,0.85366,0.55632,0.68562,0.43511,0.7811,0.51047,0.62331,0.22313,1.34076,3.82542,1.71065,1.92927,0.00142413,0.00142413,0.00142413
40,433.031,0.97777,2.35433,0.96262,1.30361,0.85366,0.55632,0.68562,0.43511,0.7811,0.51047,0.62331,0.22313,1.34076,3.82542,1.71065,1.92927,0.00145799,0.00145799,0.00145799
41,444.43,0.9555,2.30869,0.90519,1.27729,0.87401,0.66098,0.73508,0.49309,0.90364,0.47619,0.56608,0.27835,1.42255,3.82956,1.62041,2.02795,0.0014917,0.0014917,0.0014917
42,455.791,0.98869,2.20019,1.00068,1.39288,0.86528,0.61213,0.66217,0.46757,0.79852,0.56648,0.59652,0.29389,1.42182,3.85649,1.63828,2.03556,0.00152524,0.00152524,0.00152524
43,468.321,0.95855,2.09518,0.9011,1.29938,0.86528,0.61213,0.66217,0.46757,0.79852,0.56648,0.59652,0.29389,1.42182,3.85649,1.63828,2.03556,0.00155863,0.00155863,0.00155863
44,480.719,0.95021,2.26481,0.87899,1.25491,0.79558,0.57143,0.72374,0.51297,0.75571,0.52381,0.58441,0.30539,1.28773,4.10939,1.42269,1.78815,0.00159186,0.00159186,0.00159186
45,492.339,0.89447,2.05743,0.86207,1.23586,0.79558,0.57143,0.72374,0.51297,0.75571,0.52381,0.58441,0.30539,1.28773,4.10939,1.42269,1.78815,0.00162493,0.00162493,0.00162493
46,504.469,0.93443,2.04481,0.8895,1.30126,0.70665,0.71429,0.72591,0.47721,0.61114,0.42857,0.48088,0.20661,1.34103,4.24779,1.48847,1.62386,0.00165784,0.00165784,0.00165784
47,516.242,0.95522,2.05678,0.90034,1.25146,0.70665,0.71429,0.72591,0.47721,0.61114,0.42857,0.48088,0.20661,1.34103,4.24779,1.48847,1.62386,0.00169059,0.00169059,0.00169059
48,528.548,0.94632,2.30219,0.86846,1.23503,0.72307,0.80952,0.82998,0.47764,0.66859,0.42857,0.47191,0.19284,1.45753,4.64858,1.38186,1.77391,0.00172319,0.00172319,0.00172319
49,541.136,1.01927,2.42698,0.94349,1.33162,0.72307,0.80952,0.82998,0.47764,0.66859,0.42857,0.47191,0.19284,1.45753,4.64858,1.38186,1.77391,0.00175562,0.00175562,0.00175562
50,552.735,0.87076,2.17855,0.82887,1.21574,0.63567,0.66667,0.69946,0.33234,0.57457,0.28571,0.31003,0.12322,1.69682,5.8534,1.76543,2.21418,0.0017879,0.0017879,0.0017879
51,563.359,0.9431,2.12534,0.93761,1.30119,0.63567,0.66667,0.69946,0.33234,0.57457,0.28571,0.31003,0.12322,1.69682,5.8534,1.76543,2.21418,0.001802,0.001802,0.001802
52,574.431,0.9415,2.16206,0.832,1.21348,0.67375,0.59067,0.65057,0.33183,0.5444,0.47619,0.43057,0.18378,1.66411,4.95241,1.83492,2.27076,0.00179804,0.00179804,0.00179804
53,585.759,0.91562,2.06981,0.87527,1.25384,0.67375,0.59067,0.65057,0.33183,0.5444,0.47619,0.43057,0.18378,1.66411,4.95241,1.83492,2.27076,0.00179408,0.00179408,0.00179408
54,597.498,0.92816,2.59698,0.86777,1.26831,0.83328,0.71429,0.79424,0.42843,0.78647,0.47619,0.61099,0.28848,1.58271,4.10907,1.36151,2.0784,0.00179012,0.00179012,0.00179012
55,608.373,0.95103,2.24588,0.80602,1.26962,0.83328,0.71429,0.79424,0.42843,0.78647,0.47619,0.61099,0.28848,1.58271,4.10907,1.36151,2.0784,0.00178616,0.00178616,0.00178616
56,618.782,0.99254,2.18269,0.91402,1.2355,0.78708,0.70455,0.76334,0.44227,0.75559,0.52381,0.55528,0.26301,1.47456,4.76752,1.37415,2.00313,0.0017822,0.0017822,0.0017822
57,629.803,1.04439,2.16413,0.94283,1.32774,0.78708,0.70455,0.76334,0.44227,0.75559,0.52381,0.55528,0.26301,1.47456,4.76752,1.37415,2.00313,0.00177824,0.00177824,0.00177824
58,640.581,0.82137,1.90674,0.78221,1.12966,0.87324,0.66667,0.73082,0.5305,0.79889,0.56771,0.55139,0.24161,1.22299,5.43403,1.35978,1.77998,0.00177428,0.00177428,0.00177428
59,650.914,0.83321,2.20443,0.75003,1.15336,0.87324,0.66667,0.73082,0.5305,0.79889,0.56771,0.55139,0.24161,1.22299,5.43403,1.35978,1.77998,0.00177032,0.00177032,0.00177032
60,661.512,0.95972,2.185,0.94178,1.32462,0.45755,0.71429,0.44026,0.25355,0.47751,0.42857,0.28386,0.09549,1.4777,6.07416,1.74645,1.90161,0.00176636,0.00176636,0.00176636
61,671.592,0.98767,2.16096,0.88558,1.31378,0.45755,0.71429,0.44026,0.25355,0.47751,0.42857,0.28386,0.09549,1.4777,6.07416,1.74645,1.90161,0.0017624,0.0017624,0.0017624
62,681.871,0.87613,2.00592,0.78816,1.22265,0.76184,0.60977,0.73362,0.48946,0.76184,0.60977,0.60354,0.28847,1.35977,5.39325,1.31998,1.76718,0.00175844,0.00175844,0.00175844
63,692.378,1.04375,2.16918,0.89625,1.38042,0.76184,0.60977,0.73362,0.48946,0.76184,0.60977,0.60354,0.28847,1.35977,5.39325,1.31998,1.76718,0.00175448,0.00175448,0.00175448
64,702.604,0.89203,2.14118,0.80314,1.20621,0.77034,0.66667,0.66016,0.35661,0.7207,0.61905,0.56471,0.3021,1.86096,3.95721,1.49826,2.32255,0.00175052,0.00175052,0.00175052
65,713.344,0.91621,2.0978,0.80588,1.28701,0.77034,0.66667,0.66016,0.35661,0.7207,0.61905,0.56471,0.3021,1.86096,3.95721,1.49826,2.32255,0.00174656,0.00174656,0.00174656
66,725.604,0.93175,2.1683,0.88589,1.28978,0.83122,0.70402,0.76055,0.49234,0.92738,0.60872,0.64848,0.31672,1.55483,3.98974,1.4503,2.07438,0.0017426,0.0017426,0.0017426
67,736.055,0.91214,2.02429,0.85373,1.28286,0.83122,0.70402,0.76055,0.49234,0.92738,0.60872,0.64848,0.31672,1.55483,3.98974,1.4503,2.07438,0.00173864,0.00173864,0.00173864
68,746.375,0.8668,1.79058,0.79633,1.20082,0.71715,0.7248,0.77916,0.54507,0.98558,0.52381,0.57574,0.28493,1.29171,4.49479,1.4005,1.79138,0.00173468,0.00173468,0.00173468
69,756.527,0.88391,2.15995,0.81827,1.23291,0.71715,0.7248,0.77916,0.54507,0.98558,0.52381,0.57574,0.28493,1.29171,4.49479,1.4005,1.79138,0.00173072,0.00173072,0.00173072
70,767.403,0.84138,1.86619,0.6999,1.14087,1,0.56917,0.74614,0.52406,0.96729,0.52381,0.57269,0.30688,1.26648,4.77875,1.23982,1.70711,0.00172676,0.00172676,0.00172676
71,777.815,0.86307,2.08276,0.78692,1.27841,1,0.56917,0.74614,0.52406,0.96729,0.52381,0.57269,0.30688,1.26648,4.77875,1.23982,1.70711,0.0017228,0.0017228,0.0017228
72,788.298,0.91288,2.23293,0.85982,1.31667,0.80947,0.7619,0.79012,0.54979,0.89756,0.57143,0.58916,0.30998,1.19679,4.66501,1.11023,1.67144,0.00171884,0.00171884,0.00171884
73,799.353,0.81384,1.73895,0.74815,1.16244,0.80947,0.7619,0.79012,0.54979,0.89756,0.57143,0.58916,0.30998,1.19679,4.66501,1.11023,1.67144,0.00171488,0.00171488,0.00171488
74,810.284,0.78181,1.93669,0.71596,1.13718,0.98492,0.57143,0.74541,0.50364,0.76436,0.52381,0.49609,0.22169,1.27382,5.81572,1.2321,1.82446,0.00171092,0.00171092,0.00171092
75,820.441,0.92021,2.11457,0.85892,1.34675,0.98492,0.57143,0.74541,0.50364,0.76436,0.52381,0.49609,0.22169,1.27382,5.81572,1.2321,1.82446,0.00170696,0.00170696,0.00170696
76,831.065,0.75603,1.72366,0.68682,1.13593,0.85662,0.57143,0.72733,0.44502,0.76445,0.42857,0.44536,0.20709,1.50135,6.68149,1.4777,2.06386,0.001703,0.001703,0.001703
77,842.212,0.8229,1.88999,0.73809,1.19123,0.85662,0.57143,0.72733,0.44502,0.76445,0.42857,0.44536,0.20709,1.50135,6.68149,1.4777,2.06386,0.00169904,0.00169904,0.00169904
78,852.443,0.82645,1.7342,0.73844,1.1362,0.88245,0.57143,0.71661,0.34806,0.76744,0.47619,0.50092,0.16521,1.80259,7.07233,1.5138,2.2971,0.00169508,0.00169508,0.00169508
79,862.668,0.82204,1.99597,0.70453,1.1903,0.88245,0.57143,0.71661,0.34806,0.76744,0.47619,0.50092,0.16521,1.80259,7.07233,1.5138,2.2971,0.00169112,0.00169112,0.00169112
80,873.786,0.78083,1.78903,0.66486,1.13277,0.79581,0.66667,0.73407,0.29885,0.56565,0.47619,0.45568,0.15262,1.96056,6.68762,1.38275,2.57643,0.00168716,0.00168716,0.00168716
81,884.665,0.87283,2.21248,0.85594,1.23706,0.79581,0.66667,0.73407,0.29885,0.56565,0.47619,0.45568,0.15262,1.96056,6.68762,1.38275,2.57643,0.0016832,0.0016832,0.0016832
82,895.056,0.94029,2.29443,0.84344,1.29931,0.92617,0.66667,0.75493,0.392,0.79145,0.57143,0.58187,0.21731,1.73269,6.73461,1.20903,2.341,0.00167924,0.00167924,0.00167924
83,905.524,0.83744,1.80469,0.69672,1.19924,0.92617,0.66667,0.75493,0.392,0.79145,0.57143,0.58187,0.21731,1.73269,6.73461,1.20903,2.341,0.00167528,0.00167528,0.00167528
84,915.843,0.83824,1.65412,0.75661,1.16355,0.94911,0.61905,0.76474,0.47067,0.74421,0.55488,0.57017,0.26578,1.39858,6.90465,1.19567,1.82591,0.00167132,0.00167132,0.00167132
85,926.532,0.84773,1.68091,0.75593,1.24288,0.94911,0.61905,0.76474,0.47067,0.74421,0.55488,0.57017,0.26578,1.39858,6.90465,1.19567,1.82591,0.00166736,0.00166736,0.00166736
86,936.507,0.74128,1.69177,0.6906,1.12778,0.88034,0.66667,0.78332,0.50839,0.75255,0.57143,0.61663,0.3078,1.28037,6.20507,1.13597,1.80917,0.0016634,0.0016634,0.0016634
87,946.804,0.78973,1.73866,0.7059,1.17419,0.88034,0.66667,0.78332,0.50839,0.75255,0.57143,0.61663,0.3078,1.28037,6.20507,1.13597,1.80917,0.00165944,0.00165944,0.00165944
88,956.972,0.88383,1.95145,0.76839,1.21727,0.81344,0.66667,0.78581,0.55352,0.86212,0.57143,0.67119,0.35202,1.1941,4.96871,1.0836,1.68726,0.00165548,0.00165548,0.00165548
89,967.127,0.83724,1.69697,0.71796,1.22465,0.81344,0.66667,0.78581,0.55352,0.86212,0.57143,0.67119,0.35202,1.1941,4.96871,1.0836,1.68726,0.00165152,0.00165152,0.00165152
90,977.278,0.78729,1.65096,0.68119,1.12377,0.87253,0.65254,0.76692,0.56485,0.65312,0.7619,0.72244,0.33209,1.11156,5.01136,1.05469,1.57898,0.00164756,0.00164756,0.00164756
