epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7348,5.06311,11.013,2.61116,0,0,0,0,4.98356,9.60636,2.51477,3.636e-05,3.636e-05,3.636e-05
2,56.7194,4.8622,7.90687,2.23477,0,0,0,0,4.42323,7.37778,1.82052,8.1648e-05,8.1648e-05,8.1648e-05
3,83.3327,4.12441,6.49864,1.68776,0,0,0,0,3.95838,6.40636,1.47218,0.000126756,0.000126756,0.000126756
4,108.4,3.69571,5.8714,1.32509,0,0,0,0,3.75209,5.97255,1.37813,0.000171684,0.000171684,0.000171684
5,131.832,3.56577,5.55179,1.30566,5e-05,0.00752,3e-05,1e-05,3.4095,5.69712,1.22926,0.000216432,0.000216432,0.000216432
6,154.645,3.27326,5.17653,1.20264,0.00022,0.02433,0.00012,5e-05,3.2436,5.57406,1.15947,0.000261,0.000261,0.000261
7,177.716,2.95908,4.88357,1.10499,0.0002,0.02344,0.00017,2e-05,3.14724,5.52837,1.12627,0.000305388,0.000305388,0.000305388
8,200.802,2.95383,4.60697,1.12904,0.00149,0.06411,0.00176,0.00043,2.55955,5.32714,1.05966,0.000349596,0.000349596,0.000349596
9,227.189,2.88809,4.22688,1.12822,0.00015,0.0084,0.00022,2e-05,3.09701,5.48989,1.11944,0.000393625,0.000393625,0.000393625
10,253.541,2.67417,3.92255,1.07595,0.00047,0.01681,0.01116,0.00585,3.03192,5.41821,1.13423,0.000437473,0.000437473,0.000437473
11,279.316,2.69657,3.74131,1.06749,0.00349,0.09996,0.04344,0.01627,2.53596,4.90546,1.04801,0.000481141,0.000481141,0.000481141
12,304.731,2.62164,3.50885,1.05864,0.00638,0.13357,0.06772,0.02587,2.66234,4.87197,1.0671,0.000524629,0.000524629,0.000524629
13,327.656,2.49169,3.28269,1.04112,0.00663,0.12605,0.06187,0.01725,2.68791,4.9024,1.06344,0.000567937,0.000567937,0.000567937
14,350.813,2.67615,3.28927,1.03234,0.00778,0.17158,0.06985,0.02637,2.30297,4.56006,1.01338,0.000611066,0.000611066,0.000611066
15,373.65,2.48624,3.08207,1.0556,0.0087,0.172,0.08955,0.04118,2.25999,4.51657,1.01889,0.000654014,0.000654014,0.000654014
16,395.938,2.3026,2.81262,1.03325,0.0185,0.21962,0.09135,0.04033,2.21565,4.4534,1.01189,0.000696782,0.000696782,0.000696782
17,418.795,2.50316,2.91347,1.06677,0.0172,0.33574,0.13748,0.05026,2.24071,4.29711,1.02089,0.00073937,0.00073937,0.00073937
18,441.467,2.38194,2.93216,1.0645,0.01695,0.3512,0.14131,0.05426,2.28391,4.29491,1.02296,0.000781779,0.000781779,0.000781779
19,464.25,2.3308,2.73547,1.01242,0.01766,0.43855,0.17513,0.0572,2.28479,4.13775,1.03422,0.000824007,0.000824007,0.000824007
20,486.968,2.20925,2.63861,1.02083,0.55772,0.1291,0.21904,0.08204,2.19985,3.94817,1.0333,0.000866055,0.000866055,0.000866055
21,509.997,2.22108,2.51405,1.03684,0.33366,0.30792,0.23326,0.10176,2.12073,3.78305,1.02926,0.000873004,0.000873004,0.000873004
22,532.667,2.32687,2.48829,1.08733,0.32876,0.2962,0.23621,0.1047,2.16957,3.68277,1.0265,0.000871204,0.000871204,0.000871204
23,555.864,2.26629,2.5247,1.04414,0.51202,0.24917,0.25092,0.11053,2.18552,3.62376,1.02916,0.000869404,0.000869404,0.000869404
24,579.329,2.30242,2.43102,1.06937,0.89189,0.06359,0.33348,0.13209,2.10284,3.57031,1.01486,0.000867604,0.000867604,0.000867604
25,603.594,2.3441,2.57643,1.03735,0.88037,0.08503,0.3318,0.1357,2.11081,3.53793,1.00642,0.000865804,0.000865804,0.000865804
26,626.564,2.17441,2.32253,1.00578,0.89126,0.08391,0.36948,0.15545,2.08719,3.37775,1.0172,0.000864004,0.000864004,0.000864004
27,648.602,2.23877,2.30503,1.04422,0.79369,0.15593,0.37056,0.1547,2.13547,3.14383,1.03765,0.000862205,0.000862205,0.000862205
28,670.695,2.29153,2.16411,1.00797,0.49886,0.19295,0.3435,0.13022,2.16951,2.933,1.00832,0.000860405,0.000860405,0.000860405
29,692.519,2.19119,2.2943,1.02135,0.44269,0.23016,0.3593,0.12306,2.24615,3.01868,1.01441,0.000858605,0.000858605,0.000858605
30,714.555,2.16151,2.10914,0.9949,0.55503,0.34051,0.43336,0.16882,2.14288,2.78243,1.00539,0.000856805,0.000856805,0.000856805
31,736.62,2.16973,2.02531,1.0002,0.57531,0.36324,0.45913,0.18867,2.1118,2.62284,0.99863,0.000855005,0.000855005,0.000855005
32,758.776,2.16858,2.08248,1.00477,0.39375,0.38754,0.37654,0.136,2.31318,2.52435,1.02731,0.000853206,0.000853206,0.000853206
33,781.137,2.12628,1.90367,0.95863,0.21209,0.29726,0.24388,0.08289,2.54554,2.70399,1.06127,0.000851406,0.000851406,0.000851406
34,803.533,2.08869,2.0019,0.98051,0.24846,0.36874,0.27085,0.08653,2.51005,2.6545,1.05652,0.000849606,0.000849606,0.000849606
35,826.517,2.06955,1.96961,0.98352,0.35834,0.43975,0.36586,0.13043,2.29049,2.47943,1.01414,0.000847806,0.000847806,0.000847806
36,848.828,2.32649,2.22248,1.02718,0.45451,0.50241,0.4792,0.18406,2.14025,2.22192,1.00182,0.000846006,0.000846006,0.000846006
37,870.637,2.16711,1.99387,1.02615,0.47387,0.50054,0.4189,0.16015,2.13013,2.24782,0.98404,0.000844206,0.000844206,0.000844206
38,893.458,2.11475,1.97812,0.97566,0.37733,0.45479,0.36344,0.15088,2.09689,2.28288,0.97841,0.000842407,0.000842407,0.000842407
39,915.345,2.05693,2.05452,0.9978,0.4274,0.44731,0.39106,0.15149,2.10576,2.25082,0.98253,0.000840607,0.000840607,0.000840607
40,937.296,2.02201,1.85012,0.98156,0.43306,0.49191,0.46345,0.18249,2.06787,2.13894,0.98345,0.000838807,0.000838807,0.000838807
41,959.642,2.06422,1.91527,1.02165,0.50599,0.57525,0.5045,0.20788,2.02929,1.99305,0.98797,0.000837007,0.000837007,0.000837007
42,981.375,2.04307,1.80311,1.00119,0.56343,0.61187,0.538,0.2248,1.95513,1.94136,0.97447,0.000835207,0.000835207,0.000835207
43,1003.53,2.0713,1.81888,0.9867,0.45631,0.58941,0.52298,0.20701,1.95067,1.96686,0.96188,0.000833408,0.000833408,0.000833408
44,1025.3,1.96574,1.84821,0.98499,0.50451,0.59149,0.51545,0.2071,1.91404,1.97719,0.95855,0.000831608,0.000831608,0.000831608
45,1046.85,2.08154,1.82368,0.97859,0.55303,0.59598,0.55286,0.23143,1.91559,1.95555,0.95977,0.000829808,0.000829808,0.000829808
46,1068.53,2.00966,1.9037,1.00248,0.49496,0.62451,0.55262,0.22638,1.95279,2.0103,0.97115,0.000828008,0.000828008,0.000828008
47,1090.32,2.06766,1.79697,1.00718,0.55276,0.56071,0.57273,0.24001,1.90265,1.94307,0.97818,0.000826208,0.000826208,0.000826208
48,1112.14,1.89478,1.82907,0.98881,0.57985,0.55188,0.57237,0.24292,1.8944,1.94406,0.97422,0.000824408,0.000824408,0.000824408
49,1133.85,2.03677,1.73612,1.00287,0.49637,0.58875,0.5472,0.24,1.94141,1.88483,0.99096,0.000822609,0.000822609,0.000822609
50,1155.5,2.0178,1.78641,0.98037,0.54859,0.60185,0.58339,0.25189,1.93378,1.83436,0.9843,0.000820809,0.000820809,0.000820809
51,1177.8,1.96978,1.75432,0.97391,0.5591,0.57245,0.58119,0.2447,1.91997,1.84153,0.97524,0.000819009,0.000819009,0.000819009
