epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4441,2.08216,5.94715,2.9366,2.16615,0.00754,0.75439,0.30016,0.08111,0.00509,0.50877,0.06104,0.01268,2.24755,5.47467,3.21514,2.51253,8e-05,8e-05,8e-05
2,98.4464,1.73489,4.03058,2.81961,1.81726,0.00965,0.96491,0.5435,0.18257,0.00825,0.82456,0.31058,0.07621,1.59184,3.91678,2.96396,1.73869,0.000178218,0.000178218,0.000178218
3,137.024,1.42032,3.59009,2.56997,1.57013,0.01,1,0.63489,0.30612,0.00825,0.82456,0.35134,0.11452,1.42139,3.81468,2.90879,1.65338,0.000274456,0.000274456,0.000274456
4,178.459,1.33841,3.30944,2.23806,1.46138,0.01,1,0.67226,0.37506,0.00737,0.73684,0.32778,0.11373,1.17621,4.15163,2.73961,1.44305,0.000368714,0.000368714,0.000368714
5,226.949,1.2856,3.02889,1.98317,1.405,0.01,1,0.65746,0.35366,0.00772,0.77193,0.47019,0.14803,1.32451,4.62992,2.7035,1.56622,0.000460992,0.000460992,0.000460992
6,275.34,1.18906,3.01549,1.72284,1.33016,0.00965,0.96491,0.67098,0.40123,0.00737,0.73684,0.46892,0.14265,1.18929,4.75344,2.64987,1.41831,0.00055129,0.00055129,0.00055129
7,324.524,1.26609,2.95687,1.56642,1.37868,0.02022,0.89474,0.70981,0.36329,0.014,0.61932,0.46418,0.13561,1.38228,4.35199,2.62838,1.63881,0.000639608,0.000639608,0.000639608
8,371.6,1.18362,2.71431,1.38119,1.3328,0.52075,0.14035,0.48538,0.28056,0.39907,0.12281,0.32822,0.1058,1.35592,4.06622,2.51446,1.66867,0.000725946,0.000725946,0.000725946
9,407.877,1.26354,3.0234,1.50457,1.44746,0.95849,0.40518,0.73753,0.42175,0.91243,0.36842,0.55807,0.15468,1.18937,3.98607,2.3613,1.45949,0.000810304,0.000810304,0.000810304
10,440.138,1.21202,2.80032,1.32265,1.37467,0.9264,0.66256,0.84915,0.51344,0.84598,0.57819,0.68202,0.22451,1.3154,4.01958,2.14138,1.63741,0.000892682,0.000892682,0.000892682
11,473.972,1.25662,2.82503,1.34035,1.38144,0.93306,0.73364,0.87283,0.52882,0.81882,0.61404,0.66219,0.20482,1.28183,4.42188,1.95365,1.61241,0.00097308,0.00097308,0.00097308
12,508.215,1.20002,2.87872,1.23297,1.33749,0.91399,0.70175,0.77934,0.48589,0.80031,0.61404,0.6141,0.21963,1.33234,4.33428,1.99418,1.64578,0.0010515,0.0010515,0.0010515
13,542.075,1.18731,2.80585,1.1485,1.29236,0.80185,0.61404,0.77647,0.48751,0.74817,0.5614,0.64639,0.23103,1.25901,4.21239,2.00954,1.55956,0.00112794,0.00112794,0.00112794
14,574.844,1.13996,2.72324,1.18947,1.34225,0.76819,0.66667,0.76669,0.4657,0.60944,0.54758,0.49619,0.15047,1.2925,4.88873,1.92092,1.60287,0.00120239,0.00120239,0.00120239
15,606.839,1.23772,2.87535,1.30169,1.41683,0.69181,0.68421,0.62914,0.35655,0.47694,0.44799,0.36803,0.10516,1.40698,5.15849,2.07863,1.67275,0.00127487,0.00127487,0.00127487
16,639.695,1.11808,2.80354,1.17461,1.26785,0.66368,0.76171,0.66814,0.38582,0.43422,0.41746,0.28422,0.08205,1.28953,5.05612,1.91249,1.61241,0.00134537,0.00134537,0.00134537
17,671.638,1.24107,2.86421,1.25765,1.37929,0.88814,0.82456,0.86222,0.53154,0.77069,0.64862,0.60768,0.22051,1.29838,4.62608,1.64413,1.674,0.00141389,0.00141389,0.00141389
18,704.598,1.14308,2.79406,1.11936,1.28957,0.82686,0.83788,0.81951,0.48077,0.54396,0.52632,0.40576,0.1249,1.28042,5.17545,1.67911,1.66571,0.00148043,0.00148043,0.00148043
19,737.487,1.1258,2.65584,1.08396,1.27812,0.88603,0.81838,0.84356,0.54009,0.74115,0.64912,0.60981,0.18276,1.19929,4.70859,1.65899,1.66623,0.00154498,0.00154498,0.00154498
20,769.108,1.1533,2.81914,1.14529,1.3414,0.80819,0.81318,0.81868,0.52613,0.63259,0.61404,0.46843,0.15549,1.29952,4.90135,1.67527,1.7021,0.00160756,0.00160756,0.00160756
21,800.779,1.1239,2.58985,1.08587,1.28139,0.93156,0.71639,0.85217,0.55203,0.73221,0.59649,0.53686,0.17533,1.28299,5.28207,1.64971,1.59929,0.001604,0.001604,0.001604
22,831.924,1.1593,2.68938,1.08607,1.32483,0.88296,0.66183,0.75962,0.46085,0.74323,0.55864,0.51416,0.13893,1.44799,4.52503,1.87099,1.84255,0.0015842,0.0015842,0.0015842
