epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4821,2.0562,2.15016,0.95673,0.50088,0.52088,0.48678,0.18665,2.09413,2.19604,0.9757,3.636e-05,3.636e-05,3.636e-05
2,62.8658,2.07372,2.07908,0.97875,0.50675,0.53802,0.49781,0.18119,2.07083,2.21449,0.97815,8.1405e-05,8.1405e-05,8.1405e-05
3,86.6722,2.15978,2.13263,1.03067,0.5032,0.545,0.51247,0.19312,1.96503,2.18503,0.96968,0.000126,0.000126,0.000126
4,115.925,2.06673,2.0172,0.95387,0.45831,0.532,0.4591,0.1709,2.03368,2.22102,0.95769,0.000170145,0.000170145,0.000170145
5,147.129,2.12916,2.07352,0.99769,0.49725,0.46612,0.44854,0.15776,2.11339,2.238,0.97282,0.00021384,0.00021384,0.00021384
6,172.555,2.1612,2.06819,1.0006,0.61051,0.50762,0.55147,0.22278,2.02728,2.04722,0.97119,0.000257086,0.000257086,0.000257086
7,198.178,1.94675,1.87697,0.9591,0.65539,0.49312,0.56168,0.22121,1.9874,2.01617,0.96751,0.000299881,0.000299881,0.000299881
8,227.767,2.09548,2.04105,0.9696,0.46244,0.55755,0.49253,0.18967,2.11887,2.1262,0.9725,0.000342226,0.000342226,0.000342226
9,252.656,2.09888,1.93849,0.95461,0.35336,0.50095,0.35395,0.12604,2.33965,2.32717,0.99587,0.000384122,0.000384122,0.000384122
10,275.687,2.0487,1.94447,0.96661,0.48685,0.59053,0.51236,0.1779,2.1876,2.15928,0.98102,0.000425567,0.000425567,0.000425567
11,297.955,2.14197,2.0105,0.97349,0.4616,0.50134,0.46252,0.15349,2.26451,2.20162,0.99347,0.000466562,0.000466562,0.000466562
12,320.7,2.064,1.81055,0.94491,0.49069,0.4907,0.43607,0.1583,2.20761,2.185,0.99185,0.000507108,0.000507108,0.000507108
13,342.87,1.96241,1.87223,0.95059,0.53116,0.51912,0.49618,0.19137,2.09588,2.09738,0.984,0.000547203,0.000547203,0.000547203
14,364.693,2.14432,1.84497,0.9496,0.57261,0.61084,0.57933,0.22377,1.97513,1.97374,0.97279,0.000586849,0.000586849,0.000586849
15,390.976,2.03647,1.88262,0.97659,0.58445,0.56438,0.58883,0.22095,2.01205,2.02446,0.98079,0.000626045,0.000626045,0.000626045
16,417.17,1.92861,1.6741,0.95629,0.57214,0.58591,0.58519,0.23517,1.98021,1.94789,0.98676,0.00066479,0.00066479,0.00066479
17,442.602,2.18623,1.85484,0.99788,0.60605,0.54451,0.52057,0.21279,2.07866,1.93704,1.00572,0.000703086,0.000703086,0.000703086
18,467.695,2.06619,1.87341,1.00057,0.61247,0.5565,0.55301,0.22436,2.03079,1.96331,0.98401,0.000740932,0.000740932,0.000740932
19,489.719,1.99714,1.75845,0.95511,0.6187,0.54545,0.56688,0.21968,2.03621,1.9274,0.98215,0.000778328,0.000778328,0.000778328
20,513.88,2.02252,1.80071,0.96574,0.66784,0.57371,0.61885,0.25519,2.03767,1.83521,0.97891,0.000815273,0.000815273,0.000815273
21,538.486,1.95239,1.71403,0.97285,0.62612,0.60916,0.61027,0.25983,2.05502,1.81285,1.00055,0.000819009,0.000819009,0.000819009
22,563.847,2.04571,1.74767,1.01345,0.65342,0.63694,0.63679,0.26002,2.0141,1.85387,0.99003,0.000814509,0.000814509,0.000814509
23,589.191,1.99595,1.76198,0.99103,0.63136,0.61443,0.62808,0.25646,1.99741,1.80744,0.98789,0.00081001,0.00081001,0.00081001
24,614.624,2.00589,1.71476,1.00055,0.43922,0.52392,0.51512,0.21217,2.00298,2.0006,0.96081,0.00080551,0.00080551,0.00080551
25,640.822,2.0546,1.89819,0.98679,0.39968,0.55752,0.49048,0.19291,2.09211,2.06496,0.96712,0.000801011,0.000801011,0.000801011
26,664.528,1.99466,1.76072,0.95188,0.53728,0.51172,0.54117,0.21292,1.99334,1.96513,0.9607,0.000796511,0.000796511,0.000796511
27,687.115,1.98854,1.65808,0.96698,0.50273,0.67287,0.5876,0.23524,1.9387,1.8284,0.96087,0.000792012,0.000792012,0.000792012
